code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
MRU,KBAD,Sân bay qu?c t? Sir Seewoosagur Ramgoolam,32.5,-93.666664,170,,America/Chicago,SHV,US,Bossier City,Louisiana,Bossier Parish,AP
KGI,LFMR,Sân bay qu?c t? Kigali,44.3871772,6.608085546,3697,,Europe/Paris,BAE,FR,Barcelonnette,Provence-Alpes-Cote d'Azur,Departement des Alpes-de-Haute-Provence,AP
BSA,KBAF,Sân bay qu?c t? Bender Qassim,42.13333,-72.75,206,,America/New_York,BAF,US,Westfield,Massachusetts,Hampden County,AP
GBY,RPUB,Sân bay qu?c t? Abdullahi Yusuf,16.375076,120.6192708,4219,,Asia/Manila,BAG,PH,Tuding,Cordillera,Province of Benguet,AP
GGR,OBBI,Sân bay qu?c t? Garowe,26.2697012,50.63290321,36,http://www.bahrainairport.com/,Asia/Bahrain,BAH,BH,Al Muharraq,Muharraq,,AP
HGA,MRBA,Sân bay qu?c t? Hargeisa,9.166667,-83.333336,1227,,America/Costa_Rica,BAI,CR,Buenos Aires,Puntarenas,,AP
KMU,,Sân bay Kismayo,-4.833333,149.13333,0,,Pacific/Port_Moresby,BAJ,PG,,,,AP
MGQ,LTCJ,Sân bay qu?c t? Aden Adde,37.916668,41.083332,1765,,Europe/Istanbul,BAL,TR,Yenikoy,Batman,,AP
VTR,KBAM,Sân bay qu?c t? Seychelles,40.63333,-116.933334,4494,http://www.battlemountainairport.com/default.htm,America/Los_Angeles,BAM,US,Battle Mountain,Nevada,Lander County,AP
JUB,FZVR,Sân bay qu?c t? Juba,-4.3151816,20.4142387,1302,,Africa/Lubumbashi,BAN,CD,,,,AP
DAR,,Sân bay qu?c t? Julius Nyerere,17.385,102.79278,580,,Asia/Bangkok,BAO,TH,,,,AP
JRO,,Sân bay qu?c t? Kilimanjaro,-10.333333,149.75,104,,Pacific/Port_Moresby,BAP,PG,,,,AP
ZNZ,SKBQ,Sân bay qu?c t? Abeid Amani Karume,10.886398,-74.77618,75,,America/Bogota,BAQ,CO,Malambo,Atlantico,,AP
EBB,ZJQH,Sân bay qu?c t? Entebbe,55.333332,-133.6,954,,America/Sitka,BAR,US,,,,AP
COO,AGGE,Sân bay Cadjehoun,-6.9911804,155.8855471,36,,Pacific/Guadalcanal,BAS,SB,,,,AP
BOY,SNBA,Sân bay Bobo Dioulasso,-20.55,-48.55,1732,,America/Sao_Paulo,BAT,BR,Barretos,Sao Paulo,Barretos,AP
OUA,,Sân bay Ouagadougou,-22.3450535,-49.05328146,2047,,America/Sao_Paulo,BRI,BR,Bauru,Sao Paulo,,AP
DLA,ZBOW,Sân bay qu?c t? Douala,40.56068065,109.9999814,3300,,Asia/Chongqing,BAV,CN,Shulinzhao,Inner Mongolia,,AP
NSI,,Sân bay qu?c t? Yaoundé Nsimalen,-0.666667,146.35,0,,Africa/Libreville,BAW,GA,,,,AP
BVC,UNBB,Sân bay qu?c t? Aristides Pereira,53.3635611,83.55045362,839,http://airaltay.ru/,Asia/Omsk,BAX,RU,Gon'ba,Altai Krai,,AP
SID,LRBM,Sân bay qu?c t? Amílcar Cabral,47.65,23.466667,580,https://aimm.eu/,Europe/Bucharest,BAY,RO,Tautii Magherus,Maramures,,AP
RAI,SWBC,Sân bay qu?c t? Nelson Mandela,-0.966944,-62.933613,137,,America/Manaus,BAZ,BR,Barcelos,Amazonas,Barcelos,AP
VXE,SCBA,Sân bay Cesária Évora,-45.916668,-71.695,1696,,America/Santiago,BBA,CL,,,,AP
BGF,KBBB,Sân bay qu?c t? Bangui M'Poko,45.331944,-95.650556,1026,,America/Chicago,BBB,US,Benson,Minnesota,Swift County,AP
ABJ,KBYY,Sân bay Port Bouet,28.983334,-95.96667,72,http://www.flybaycity.com/,America/Chicago,BBC,US,Bay City,Texas,Matagorda County,AP
BJL,KBBD,Sân bay qu?c t? Banjul,31.133333,-99.333336,1686,,America/Chicago,BBD,US,Brady,Texas,McCulloch County,AP
ACC,,Sân bay qu?c t? Kotoka,42.5,-71.183334,154,,America/New_York,BBF,US,Burlington,Massachusetts,Middlesex County,AP
TML,NGTU,Sân bay Tamale,3.166667,172.75,0,,Pacific/Tarawa,BBG,KI,,,,AP
CKY,EDBH,Sân bay qu?c t? Conakry,54.33965175,12.71262634,26,,Europe/Berlin,BBH,DE,,,,AP
OXB,VEBS,Sân bay qu?c t? Osvaldo Vieira,20.25229545,85.81348472,121,http://aai.aero/allAirports/bhubaneshwar_generalinfo.jsp,Asia/Kolkata,BBI,IN,Bhubaneshwar,Odisha,Khordha,AP
Không,EDRB,Sân bay Bafatá,49.946165,6.565966669,1220,,Europe/Berlin,BBJ,DE,Bitburg,Rheinland-Pfalz,,AP
BQE,FBKE,Sân bay Bubaque,-17.83045705,25.16436706,3277,,Africa/Gaborone,BBK,BW,Kasane,North West,,AP
Không,YLLE,Sân bay Cufar,27.408333,141.808333,385,,Australia/Brisbane,BBL,AU,,,,AP
ROB,VDBG,Sân bay qu?c t? Roberts,13.0956576,103.2269494,45,,Asia/Phnom_Penh,BBM,KH,Battambang,Battambang,,AP
BKO,WBGZ,Sân bay qu?c t? Bamako–Sénou,3.683333,115.46667,3497,,Asia/Kuching,BBN,MY,,,,AP
NKC,HCMI,Sân bay qu?c t? Nouakchott,10.419444,45.00639,59,,Africa/Mogadishu,BBO,SO,Berbera,Woqooyi Galbeed,,AP
NIM,EGHJ,Sân bay qu?c t? Diori Hamani,50.6791033,-1.109752386,26,http://www.eghj.com/,Europe/London,BBP,GB,,,,AP
ABV,TAPH,Sân bay qu?c t? Nnamdi Azikiwe,17.555555,-61.765,45,,America/Antigua,BBQ,AG,Codrington,Barbuda,,AP
CAN,TFFB,Sân bay qu?c t? Mallam Aminu Kano,16.01391785,-61.74331842,39,,America/Guadeloupe,BBR,GP,Baillif,Guadeloupe,Guadeloupe,AP
LOS,EGLK,Sân bay qu?c t? Murtala Muhammed,51.3228059,-0.8405417,321,http://www.blackbusheairport.co.uk/,Europe/London,BBS,GB,Yateley,England,Hampshire,AP
PHC,FEFT,Sân bay qu?c t? Port Harcourt,4.2228219,15.78601959,1886,,Africa/Bangui,BBT,CF,Berberati,Mambere-Kadei,,AP
DKR,LRBS,Sân bay qu?c t? Léopold Sédar Senghor,44.50029205,26.09022832,278,http://www.baneasa-airport.ro/,Europe/Bucharest,BUH,RO,,,,AP
FNA,DIGN,Sân bay qu?c t? Lungi,4.666667,-6.95,22,,Africa/Abidjan,BBV,CI,,,,AP
LFW,KBBW,Sân bay Lomé-Tokoin,41.4,-99.63333,2463,,America/Chicago,BBW,US,Broken Bow,Nebraska,Custer County,AP
LAD,KLOM,Sân bay Quatro de Fevereiro,40.136665,-75.2675,301,,America/New_York,BBX,US,Blue Bell,Pennsylvania,Montgomery County,AP
SSD,FEFM,Sân bay Lubango,5.84805,20.6470806,1545,,Africa/Bangui,BBY,CF,Bambari,Ouaka,,AP
GBE,FLZB,Sân bay qu?c t? Sir Seretse Khama,-13.5365145,23.10703183,3540,,Africa/Lusaka,BBZ,ZM,,,,AP
MUB,MUBA,Sân bay Maun,20.35,-74.5,26,,America/Havana,BCA,CU,Baracoa,Guantanamo,,AP
FRW,KBCB,Sân bay qu?c t? Francistown,37.20921745,-80.41201042,2076,http://www.vtbcb.com/index.php,America/New_York,BCB,US,Blacksburg,Virginia,Montgomery County,AP
BBK,Z48,Sân bay Kasane,63.571667,-156.144167,623,,America/Anchorage,BCC,US,Red Lodge,Montana,Carbon County,AP
MSU,RPVB,Sân bay qu?c t? Moshoeshoe I,10.644815,122.93359,32,http://www.bacolod-silayairport.com/,Asia/Manila,BCD,PH,Bacolod City,Western Visayas,Province of Negros Occidental,AP
TNR,KBCE,Sân bay qu?c t? Ivato,37.70752165,-112.1501399,7582,http://www.brycecanyonairport.com/,America/Denver,BCE,US,,,,AP
DIE,FEGU,Sân bay Arrachart,6.75,18.416668,1732,,Africa/Bangui,BCF,CF,Bouca,Ouham,,AP
MJN,SYBE,Sân bay Amborovy,6.55,-58.55,160,,America/Guyana,BCG,GY,,,,AP
NOS,WPEC,Sân bay Fascene,-8.491667,126.39972,1669,,Asia/Dili,BCH,TL,Baucau,Baucau,,AP
TMM,YBAR,Sân bay Toamasina,-23.56550565,145.3020629,846,,Australia/Brisbane,BCI,AU,,,,AP
FTU,,Sân bay Tôlanaro,39,-106,9258,,America/Denver,BCJ,US,Buena Vista,Colorado,Chaffee County,AP
TLE,YBWR,Sân bay Toliara,-17.3882999,144.1690063,984,,Australia/Brisbane,BCK,AU,Atherton,Queensland,Tablelands,AP
BLZ,MRBC,Sân bay qu?c t? Chileka,10.833333,-82.96667,3,,America/Costa_Rica,BCL,CR,Matina,Limon,,AP
LLW,LRBC,Sân bay qu?c t? Lilongwe,46.59861,26.881945,557,http://www.bacauairport.ro/,Europe/Bucharest,BCM,RO,Margineni-Munteni,Bacau,,AP
DZA,LEBL,Sân bay qu?c t? Dzaoudzi Pamandzi,41.29694395,2.079047363,22,http://www.aena.es/en/barcelona-airport/index.html,Europe/Madrid,BCN,ES,El Prat de Llobregat,Catalonia,Provincia de Barcelona,AP
MPM,HABC,Sân bay qu?c t? Maputo,5.783333,36.55,4606,,Africa/Addis_Ababa,BCO,ET,,,,AP
BEW,AYBC,Sân bay Beira,-5.85,146.48334,4301,,Pacific/Port_Moresby,BCP,PG,,,,AP
INH,,Sân bay Inhambane,27.683332,14.216667,1509,,Africa/Tripoli,BCQ,LY,Brak,Sha`biyat Wadi ash Shati',,AP
APL,SWNK,Sân bay Nampula,-8.75,-67.38333,377,,America/Manaus,BCR,BR,Boca do Acre,Amazonas,Boca Do Acre,AP
POL,65LA,Sân bay Pemba,29.966667,-90,22,http://southernseaplane.com/cms/?page_id=460,America/Chicago,BCS,US,,,,AP
TET,KBCT,Chingozi Airport,26.35,-80.083336,52,,America/New_York,BCT,US,Boca Raton,Florida,Palm Beach County,AP
VNX,DNBC,Sân bay Vilankulo,10.366667,9.8,1932,,Africa/Lagos,BCU,NG,Bauchi,Bauchi,,AP
WDH,,Sân bay qu?c t? Windhoek Hosea Kutako,17.269211,-88.7754724,177,http://www.flightstats.com/go/Airport/airportDetails.do?airportCode=BCV,America/Belize,BCV,BZ,,,,AP
